regime,type_idx,type_label,depth,xi_bin,mu,alpha,beta,branching_ratio,n_events,log_lik,converged,fallback
R1,0,sell_submit,1,0,0.323078195130722,0.5660033235321721,0.6458348683592205,0.8763901598718804,17415,-20326.770225062795,True,False
R1,0,sell_submit,1,1,0.15379406165633816,0.30512223397741006,395.8570707673285,0.000770788894552172,5179,-5704.976375797283,True,False
R1,0,sell_submit,1,2,0.06783242549700223,0.4922262553897528,2668.963756568964,0.0001844259796253378,3126,2606.828947501578,True,False
R1,0,sell_submit,1,3,0.04292345432143472,0.7170684101150786,630.1121905982785,0.0011380011699729804,3550,8096.901917655347,True,False
R1,0,sell_submit,1,4,0.018950084816396557,0.8638111273366061,205.06367541209872,0.004212404393906818,3256,9861.796110877549,True,False
R1,0,sell_submit,1,5,0.0017468612640471534,0.8275238051353363,279.35107392384765,0.002962307584902727,237,595.7180749477609,True,False
R1,0,sell_submit,2,0,0.44671897719558035,0.12415450591163553,474.86410532127644,0.0002614527072490285,11935,-15486.611488145125,True,False
R1,0,sell_submit,2,1,0.09299823134119316,0.3622057964534054,201.25953650983996,0.0017996950740055812,3412,-4321.219232981568,True,False
R1,0,sell_submit,2,2,0.03142194195560249,0.6265758837291706,124.922437001685,0.005015719343681385,1969,154.3850385550477,True,False
R1,0,sell_submit,2,3,0.01245190130751183,0.7225005772708455,165.0351834330752,0.004377857873947423,1050,1047.8641622034847,True,False
R1,0,sell_submit,2,4,0.002850786376100129,0.8066427558135894,295.71883500666183,0.002727735471416346,345,787.927301778654,True,False
R1,0,sell_submit,2,5,0.001,0.8958153761473008,676.5925395796141,0.001324010129795247,48,219.01072564800447,True,False
R1,0,sell_submit,3,0,0.3736853249145444,0.12347557856096547,702.446993758504,0.0001757792113256811,9976,-14131.067333412024,True,False
R1,0,sell_submit,3,1,0.06628841961079333,0.43388834094340345,62.41909972017629,0.006951211133908005,2740,-3906.9643187748898,True,False
R1,0,sell_submit,3,2,0.021188519265494296,0.6102122543945452,88.3525163800297,0.006906563382641486,1272,-537.7772783100728,True,False
R1,0,sell_submit,3,3,0.005495621748021968,0.690871466185237,155.3463391328428,0.004447298018361704,416,166.05624432661142,True,False
R1,0,sell_submit,3,4,0.001,0.8247300823018653,225.11587230561773,0.0036635803324530144,97,198.88074984012746,True,False
R1,0,sell_submit,3,5,0.001,0.0,1.0,0.0,9,-85.56973090560723,False,True
R1,0,sell_submit,4,0,0.1495894019555875,0.1445802114991178,236.84293482332777,0.0006104476437389485,4092,-9151.116979676328,True,False
R1,0,sell_submit,4,1,0.02113006610150325,0.45305045634025815,40.651391922299894,0.011144771062358899,904,-1939.0491948681033,True,False
R1,0,sell_submit,4,2,0.007063052282726549,0.5533102868430024,92.1212207365183,0.006006328209930696,370,-514.0605862647744,True,False
R1,0,sell_submit,4,3,0.0015444543945544813,0.7399986987769452,214.67271676825146,0.0034471017552538175,139,118.7908214072406,True,False
R1,0,sell_submit,4,4,0.001,0.8691475936288412,2097.1000834357005,0.0004144521286770958,107,501.7190312359051,True,False
R1,0,sell_submit,4,5,0.001,0.8656712590916451,2839.7413888587994,0.00030484158257788766,67,314.83814345961116,True,False
R1,0,sell_submit,5,0,0.237892106908501,0.1273450324163181,456.5145243122054,0.0002789506699883839,6379,-11760.059107161454,True,False
R1,0,sell_submit,5,1,0.037233245754181674,0.46907028682672847,49.229916229276945,0.00952815529163491,1641,-2675.46239615837,True,False
R1,0,sell_submit,5,2,0.013644306273303949,0.6082499725342625,85.02396229685294,0.0071538652881245005,815,-522.8603237484258,True,False
R1,0,sell_submit,5,3,0.003743334514713565,0.7099536340696553,149.39839676064,0.004752083352053061,302,132.10213655031333,True,False
R1,0,sell_submit,5,4,0.001,0.8369288442236203,421.88764150536275,0.001983771890632596,92,242.6539573571543,True,False
R1,0,sell_submit,5,5,0.001,0.7894444879131437,501.10854510408547,0.0015753961803807754,19,32.54000533247118,True,False
R1,0,sell_submit,6,0,0.10383375659732758,0.155179142484564,199.71244316595468,0.0007770128892550529,2876,-7239.811841164402,True,False
R1,0,sell_submit,6,1,0.013636053451428128,0.4362493526363575,38.76173402565003,0.011254639752382483,566,-1440.302509156475,True,False
R1,0,sell_submit,6,2,0.0030356173665079295,0.4699011075276632,84.64815633007848,0.005551226723655063,134,-356.483140109214,True,False
R1,0,sell_submit,6,3,0.001,0.6315734815065839,90.65465333813113,0.0069668070887755704,19,-32.54509655122331,True,False
R1,0,sell_submit,6,4,0.001,0.0,1.0,0.0,0,-23.399933403768003,False,True
R1,0,sell_submit,6,5,0.001,0.0,1.0,0.0,0,-23.399933403768003,False,True
R1,0,sell_submit,7,0,0.05247395573237883,0.1531768053168482,1026.567318621572,0.00014921262594110932,1450,-4157.909064387864,False,False
R1,0,sell_submit,7,1,0.005543944550149072,0.3822471626613159,53.27635451264152,0.007174799517685009,210,-711.2240989080367,True,False
R1,0,sell_submit,7,2,0.0013693562411191283,0.46594281933684767,1256.3733292478735,0.00037086334809079705,60,-114.27991441610624,True,False
R1,0,sell_submit,7,3,0.001,0.646535171281391,95.30991518992312,0.006783503793839778,20,-31.062455578601266,True,False
R1,0,sell_submit,7,4,0.001,0.0,1.0,0.0,8,-78.6619756276251,False,True
R1,0,sell_submit,7,5,0.001,0.0,1.0,0.0,0,-23.399933403768003,False,True
R1,0,sell_submit,8,0,0.05499731081797588,0.17129713816580394,3730.768908418473,4.5914700795128926e-05,1553,-3825.653272611703,True,False
R1,0,sell_submit,8,1,0.011117565652862834,0.313589999613102,2243.2570614501387,0.00013979227124794332,379,-884.8808482814661,True,False
R1,0,sell_submit,8,2,0.0030837978496357143,0.457440667306298,1989.2709281768482,0.0002299539297673942,133,-180.1551337859886,True,False
R1,0,sell_submit,8,3,0.001,0.66653336119465,583.9613596282865,0.0011413997693596092,45,7.53774912449947,True,False
R1,0,sell_submit,8,4,0.001,0.0,1.0,0.0,3,-44.12319923771442,False,True
R1,0,sell_submit,8,5,0.001,0.0,1.0,0.0,0,-23.399933403768003,False,True
R1,0,sell_submit,9,0,0.037699359916017486,0.3081077690065915,1.250445517720142,0.246398395324208,1275,-4544.448040676757,True,False
R1,0,sell_submit,9,1,0.003392646843682257,0.2716708149474952,271.15638807531224,0.0010018971593324221,109,-461.90001916948904,True,False
R1,0,sell_submit,9,2,0.001,0.5791020177828275,137.24138553167526,0.004219587375479906,24,-49.47997252161075,True,False
R1,0,sell_submit,9,3,0.001,0.7141888519126275,181.23811757647195,0.003940610625749196,14,-2.113430369389336,True,False
R1,0,sell_submit,9,4,0.001,0.0,1.0,0.0,3,-44.12319923771442,False,True
R1,0,sell_submit,9,5,0.001,0.0,1.0,0.0,0,-23.399933403768003,False,True
R1,0,sell_submit,10,0,0.2519842898342819,0.09839454853477601,2633.6946786074013,3.7359891916857786e-05,6540,-11676.643976167508,True,False
R1,0,sell_submit,10,1,0.04243721527769934,0.3470805384282562,8425.668422743072,4.11932348882132e-05,1521,-887.6334386425672,True,False
R1,0,sell_submit,10,2,0.032286458836495356,0.4846105017930799,8433.456311035612,5.7462857922076635e-05,1466,1407.1840000844481,True,False
R1,0,sell_submit,10,3,0.016608333465633177,0.6811824919669628,570.1924239599206,0.0011946537052110041,1219,1852.3716078895286,True,False
R1,0,sell_submit,10,4,0.004031918236694245,0.771556408449052,457.4599389440557,0.0016866097832085975,413,926.1746494726419,True,False
R1,0,sell_submit,10,5,0.001,0.983821674029769,808.0141157942171,0.001217579810549159,679,5105.100952123581,True,False
R1,1,buy_submit,1,0,0.46672693043530966,0.521672334691804,0.5221945292210249,0.999,23121,-21614.821564429898,True,False
R1,1,buy_submit,1,1,0.16645329163488728,0.4207323015603123,65.77580451106637,0.006396459985366302,6724,-6253.337584162541,True,False
R1,1,buy_submit,1,2,0.07241363724265115,0.5339719735413015,458.3623437819194,0.001164956023951557,3636,1335.2080133502004,True,False
R1,1,buy_submit,1,3,0.03932974043457162,0.7481351473987006,308.24718268972873,0.0024270624012539582,3654,7510.781598107401,True,False
R1,1,buy_submit,1,4,0.01730403866302374,0.8574750519842921,197.0163755742568,0.0043523034543953626,2841,8240.140176869547,True,False
R1,1,buy_submit,1,5,0.0015712847372928427,0.8033779384011592,269.62951338099526,0.0029795623198932237,187,385.0296789825668,True,False
R1,1,buy_submit,2,0,0.3332055173252696,0.41823143456889345,2.2642796388131674,0.18470838468878842,13402,-18459.187682273372,True,False
R1,1,buy_submit,2,1,0.0919472870615211,0.42670883024481926,67.42430453341206,0.0063287094052763134,3753,-4685.2449812408295,True,False
R1,1,buy_submit,2,2,0.03144078165317982,0.6334267181416202,86.89291010561307,0.007289739949688972,2007,-132.36323584378238,True,False
R1,1,buy_submit,2,3,0.010983550251239016,0.7280264391685632,147.3106819315214,0.004942115735415524,945,900.9725603698805,True,False
