regime,z1,z2,first_step_up
1,1,1,0.000000
1,1,2,0.000000
1,1,3,0.000000
1,1,4,0.000000
1,1,5,0.000000
1,1,6,0.000000
1,1,7,0.000000
1,1,8,0.000000
1,1,9,0.000000
1,1,10,0.000000
1,2,1,1.000000
1,2,2,0.459610
1,2,3,0.600372
1,2,4,0.814224
1,2,5,0.734587
1,2,6,0.891603
1,2,7,0.929890
1,2,8,0.900287
1,2,9,0.944105
1,2,10,0.549154
1,3,1,1.000000
1,3,2,0.356498
1,3,3,0.492298
1,3,4,0.739194
1,3,5,0.645742
1,3,6,0.838724
1,3,7,0.891116
1,3,8,0.853155
1,3,9,0.908700
1,3,10,0.444190
1,4,1,1.000000
1,4,2,0.156177
1,4,3,0.242406
1,4,4,0.486075
1,4,5,0.377151
1,4,6,0.635986
1,4,7,0.753570
1,4,8,0.674749
1,4,9,0.792350
1,4,10,0.213654
1,5,1,1.000000
1,5,2,0.248953
1,5,3,0.364112
1,5,4,0.626994
1,5,5,0.518281
1,5,6,0.754347
1,5,7,0.831516
1,5,8,0.778235
1,5,9,0.856888
1,5,10,0.326659
1,6,1,1.000000
1,6,2,0.110112
1,6,3,0.173460
1,6,4,0.371379
1,6,5,0.282703
1,6,6,0.519722
1,6,7,0.659500
1,6,8,0.568665
1,6,9,0.705744
1,6,10,0.153956
1,7,1,1.000000
1,7,2,0.062108
1,7,3,0.104173
1,7,4,0.236824
1,7,5,0.188989
1,7,6,0.361602
1,7,7,0.502632
1,7,8,0.399818
1,7,9,0.571355
1,7,10,0.083546
1,8,1,1.000000
1,8,2,0.080632
1,8,3,0.134124
1,8,4,0.308766
1,8,5,0.232938
1,8,6,0.452839
1,8,7,0.607914
1,8,8,0.500357
1,8,9,0.670241
1,8,10,0.111452
1,9,1,1.000000
1,9,2,0.057933
1,9,3,0.098354
1,9,4,0.224536
1,9,5,0.180717
1,9,6,0.344778
1,9,7,0.478577
1,9,8,0.381482
1,9,9,0.548799
1,9,10,0.077223
1,10,1,1.000000
1,10,2,0.362533
1,10,3,0.500882
1,10,4,0.743055
1,10,5,0.644848
1,10,6,0.844756
1,10,7,0.902540
1,10,8,0.856341
1,10,9,0.925783
1,10,10,0.449149
2,1,1,0.000000
2,1,2,0.000000
2,1,3,0.000000
2,1,4,0.000000
2,1,5,0.000000
2,1,6,0.000000
2,1,7,0.000000
2,1,8,0.000000
2,1,9,0.000000
2,1,10,0.000000
2,2,1,1.000000
2,2,2,0.412567
2,2,3,0.673067
2,2,4,0.565322
2,2,5,0.513851
2,2,6,0.760473
2,2,7,0.838944
2,2,8,0.728717
2,2,9,0.832838
2,2,10,0.423984
2,3,1,1.000000
2,3,2,0.257061
2,3,3,0.484160
2,3,4,0.384330
2,3,5,0.337096
2,3,6,0.591968
2,3,7,0.695336
2,3,8,0.548959
2,3,9,0.684820
2,3,10,0.275617
2,4,1,1.000000
2,4,2,0.366627
2,4,3,0.628099
2,4,4,0.522446
2,4,5,0.468683
2,4,6,0.722757
2,4,7,0.822251
2,4,8,0.691054
2,4,9,0.815263
2,4,10,0.375484
2,5,1,1.000000
2,5,2,0.416312
2,5,3,0.674669
2,5,4,0.574216
2,5,5,0.520959
2,5,6,0.762626
2,5,7,0.850738
2,5,8,0.734009
2,5,9,0.844575
2,5,10,0.425353
2,6,1,1.000000
2,6,2,0.171976
2,6,3,0.366256
2,6,4,0.275625
2,6,5,0.235998
2,6,6,0.474174
2,6,7,0.599040
2,6,8,0.433003
2,6,9,0.587959
2,6,10,0.187525
2,7,1,1.000000
2,7,2,0.127759
2,7,3,0.312420
2,7,4,0.216145
2,7,5,0.181756
2,7,6,0.409153
2,7,7,0.536846
2,7,8,0.365510
2,7,9,0.525822
2,7,10,0.133075
2,8,1,1.000000
2,8,2,0.185486
2,8,3,0.401665
2,8,4,0.298139
2,8,5,0.255181
2,8,6,0.509079
2,8,7,0.636412
2,8,8,0.465533
2,8,9,0.626273
2,8,10,0.195118
2,9,1,1.000000
2,9,2,0.109651
2,9,3,0.282199
2,9,4,0.187970
2,9,5,0.157536
2,9,6,0.371929
2,9,7,0.493083
2,9,8,0.328761
2,9,9,0.481943
2,9,10,0.112611
2,10,1,1.000000
2,10,2,0.430987
2,10,3,0.683577
2,10,4,0.586870
2,10,5,0.534943
2,10,6,0.768969
2,10,7,0.855684
2,10,8,0.744055
2,10,9,0.851116
2,10,10,0.439791
