regime,type_label,size,level,n_events,n_interarrivals,T,mean_tau
R1,sell_submit,1,0,0,0,23399.933403768002,
R1,sell_submit,1,1,20708,20707,23399.933403768002,1.130049423082436
R1,sell_submit,1,2,6340,6339,23399.933403768002,3.691053009620445
R1,sell_submit,1,3,2155,2154,23399.933403768002,10.832477099449397
R1,sell_submit,1,4,2304,2303,23399.933403768002,10.158926667139816
R1,sell_submit,1,5,1256,1255,23399.933403768002,18.63022435303586
R1,sell_submit,2,0,0,0,23399.933403768002,
R1,sell_submit,2,1,12115,12114,23399.933403768002,1.9315750584875353
R1,sell_submit,2,2,2586,2585,23399.933403768002,9.045256549075049
R1,sell_submit,2,3,2614,2613,23399.933403768002,8.954493361474551
R1,sell_submit,2,4,910,909,23399.933403768002,25.642496264722773
R1,sell_submit,2,5,534,533,23399.933403768002,43.83085472399438
R1,sell_submit,3,0,0,0,23399.933403768002,
R1,sell_submit,3,1,10922,10921,23399.933403768002,2.142022345142478
R1,sell_submit,3,2,1155,1154,23399.933403768002,20.217575242405548
R1,sell_submit,3,3,1505,1504,23399.933403768002,15.515560586916889
R1,sell_submit,3,4,792,791,23399.933403768002,29.36183237976612
R1,sell_submit,3,5,136,135,23399.933403768002,172.83344219275557
R1,sell_submit,4,0,0,0,23399.933403768002,
R1,sell_submit,4,1,4675,4674,23399.933403768002,5.00540468207146
R1,sell_submit,4,2,652,651,23399.933403768002,35.839966973692775
R1,sell_submit,4,3,303,302,23399.933403768002,77.25598142877483
R1,sell_submit,4,4,21,20,23399.933403768002,1145.9437861690003
R1,sell_submit,4,5,28,27,23399.933403768002,857.5696752259629
R1,sell_submit,5,0,0,0,23399.933403768002,
R1,sell_submit,5,1,4210,4209,23399.933403768002,5.55899329420765
R1,sell_submit,5,2,2493,2492,23399.933403768002,9.38809774780658
R1,sell_submit,5,3,1424,1423,23399.933403768002,16.41069511737034
R1,sell_submit,5,4,727,726,23399.933403768002,32.1234344221639
R1,sell_submit,5,5,394,393,23399.933403768002,59.51281539829008
R1,sell_submit,6,0,0,0,23399.933403768002,
R1,sell_submit,6,1,2229,2228,23399.933403768002,10.454541864080342
R1,sell_submit,6,2,844,843,23399.933403768002,27.09443872789324
R1,sell_submit,6,3,348,347,23399.933403768002,65.82045575761096
R1,sell_submit,6,4,71,70,23399.933403768002,299.27336423522854
R1,sell_submit,6,5,103,102,23399.933403768002,208.59339202501965
R1,sell_submit,7,0,0,0,23399.933403768002,
R1,sell_submit,7,1,1222,1221,23399.933403768002,19.15264591656429
R1,sell_submit,7,2,125,124,23399.933403768002,169.42119036692742
R1,sell_submit,7,3,173,172,23399.933403768002,133.59794947098834
R1,sell_submit,7,4,43,42,23399.933403768002,522.2818702599524
R1,sell_submit,7,5,185,184,23399.933403768002,117.96094113759781
R1,sell_submit,8,0,0,0,23399.933403768002,
R1,sell_submit,8,1,1776,1775,23399.933403768002,13.144123961794364
R1,sell_submit,8,2,132,131,23399.933403768002,177.76856828696182
R1,sell_submit,8,3,21,20,23399.933403768002,1075.5962190391
R1,sell_submit,8,4,57,56,23399.933403768002,260.84802153621433
R1,sell_submit,8,5,127,126,23399.933403768002,162.11225674573015
R1,sell_submit,9,0,0,0,23399.933403768002,
R1,sell_submit,9,1,821,820,23399.933403768002,28.515178640415854
R1,sell_submit,9,2,409,408,23399.933403768002,52.60112328456618
R1,sell_submit,9,3,61,60,23399.933403768002,360.48635695115007
R1,sell_submit,9,4,30,29,23399.933403768002,733.0279793696895
R1,sell_submit,9,5,104,103,23399.933403768002,206.58595503872817
R1,sell_submit,10,0,0,0,23399.933403768002,
R1,sell_submit,10,1,7684,7683,23399.933403768002,3.0455810412893403
R1,sell_submit,10,2,1714,1713,23399.933403768002,13.403291511022188
R1,sell_submit,10,3,798,797,23399.933403768002,29.20901230880301
R1,sell_submit,10,4,667,666,23399.933403768002,35.03994510756005
R1,sell_submit,10,5,975,974,23399.933403768002,24.02129140266427
R1,buy_submit,1,0,0,0,23399.933403768002,
R1,buy_submit,1,1,24268,24267,23399.933403768002,0.9642275011317424
R1,buy_submit,1,2,7372,7371,23399.933403768002,3.1744661351884416
R1,buy_submit,1,3,3719,3718,23399.933403768002,6.293464698974718
R1,buy_submit,1,4,2929,2928,23399.933403768002,7.989867324196039
R1,buy_submit,1,5,1875,1874,23399.933403768002,12.486180226816437
R1,buy_submit,2,0,0,0,23399.933403768002,
R1,buy_submit,2,1,12182,12181,23399.933403768002,1.9209352125479027
R1,buy_submit,2,2,3807,3806,23399.933403768002,6.147949835500787
R1,buy_submit,2,3,2820,2819,23399.933403768002,8.300319193324938
R1,buy_submit,2,4,982,981,23399.933403768002,23.778570766431198
R1,buy_submit,2,5,673,672,23399.933403768002,34.700176268418154
R1,buy_submit,3,0,0,0,23399.933403768002,
R1,buy_submit,3,1,8860,8859,23399.933403768002,2.6398084700286715
R1,buy_submit,3,2,1758,1757,23399.933403768002,13.306478229115537
R1,buy_submit,3,3,2073,2072,23399.933403768002,11.274144533095075
R1,buy_submit,3,4,739,738,23399.933403768002,31.32650355720325
R1,buy_submit,3,5,301,300,23399.933403768002,77.59662769934667
R1,buy_submit,4,0,0,0,23399.933403768002,
R1,buy_submit,4,1,4485,4484,23399.933403768002,5.217541581617306
R1,buy_submit,4,2,780,779,23399.933403768002,30.017315663134788
R1,buy_submit,4,3,324,323,23399.933403768002,72.43893208676471
R1,buy_submit,4,4,57,56,23399.933403768002,412.27569825421426
R1,buy_submit,4,5,36,35,23399.933403768002,654.8176541082859
R1,buy_submit,5,0,0,0,23399.933403768002,
R1,buy_submit,5,1,2853,2852,23399.933403768002,8.20401152783871
R1,buy_submit,5,2,2137,2136,23399.933403768002,10.950479620110958
R1,buy_submit,5,3,1653,1652,23399.933403768002,14.160004668542369
R1,buy_submit,5,4,945,944,23399.933403768002,24.524976005240468
R1,buy_submit,5,5,423,422,23399.933403768002,55.28045893958767
R1,buy_submit,6,0,0,0,23399.933403768002,
R1,buy_submit,6,1,1757,1756,23399.933403768002,13.324107612332572
R1,buy_submit,6,2,190,189,23399.933403768002,123.44766568013226
R1,buy_submit,6,3,151,150,23399.933403768002,154.80382379848666
